names,scores,logfoldchanges,pvals,pvals_adj
OLR1,5.2680798,2.3300664,1.8101821217090342e-07,0.0016224662356878073
PTPRG,4.3193765,2.1116612,1.803220886826086e-05,0.04617791088177774
NPAS3,4.179446,1.8980423,3.287962131569867e-05,0.06323551980033486
RNF150,4.1405516,1.804554,3.838096689709125e-05,0.06323551980033486
IL13RA1,4.137644,1.7888389,3.8803454078081194e-05,0.06323551980033486
ELL2,3.7881484,1.6815605,0.00016284984327690318,0.2085175921844119
RTTN,3.7152889,1.6460867,0.00021669321558699631,0.242777661413281
MYO1E,3.59157,1.5724947,0.00034884651505507567,0.2969889172411563
CD83,3.4452775,1.7393935,0.0006049717910810254,0.36409295895421007
GOLGA8A,3.3886828,2.1527627,0.0007475803513627323,0.3828892965293811
SPP1,3.3675334,1.6635936,0.0007909182130759284,0.3938333302110859
DHRS9,3.2477155,2.1325698,0.0012272540864146854,0.5268933335163758
SOCS6,3.2401102,1.4546559,0.0012406504908131916,0.5268933335163758
SETDB1,3.2060244,1.60803,0.0014072149745090955,0.5387539614833283
ZMYND11,3.2034774,1.3834206,0.001412553619865917,0.5387539614833283
SDK1,3.1814768,1.5209637,0.0015153834453057948,0.5432952728110335
PRCP,3.13178,1.9602544,0.0018184176519518084,0.6084414390003238
CD81,3.0970852,1.3269287,0.00202191052394223,0.6267039956751924
BHLHE41,3.0514612,1.3687596,0.002346021356751776,0.6783028845343925
FMN1,3.0362408,1.4016889,0.0024661542593183306,0.68356608364151
TANC1,3.0337267,1.3037369,0.0024929293446539578,0.68356608364151
ASNS,3.0234857,3.4183261,0.0026259978355232297,0.6916061681214741
CACNA1A,3.0122147,1.3663558,0.0026687796238466263,0.6916061681214741
RASGEF1B,2.9675758,1.3870133,0.003082399257025261,0.7293239314589646
SPATA20,2.9543128,2.5252664,0.003266831387745148,0.7368969404780391
RP11-701H24.9,2.9425778,1.7253466,0.0033685165478276454,0.7402945567209926
DOCK10,2.928584,1.427472,0.003488572170802196,0.748850813804827
BTBD7,2.9163053,1.2476555,0.0036379164502122366,0.748850813804827
RPS3,2.914167,1.3409095,0.0036720091168164996,0.748850813804827
ELK3,2.9118202,1.3977917,0.0037021127903532204,0.748850813804827
C20orf196,2.9094899,1.3541193,0.003727431592493731,0.748850813804827
MMRN1,2.8819814,2.176438,0.004095501488745173,0.750740166979189
NR4A3,2.8472788,27.68279,0.004614934857652813,0.750740166979189
CEP85L,2.8437605,1.2853684,0.004576115220505375,0.750740166979189
CCL3,2.8429446,27.708015,0.004676998883070985,0.750740166979189
HLA-DRA,2.821006,1.2072948,0.004899955346232574,0.750740166979189
IGSF6,2.802899,1.5228392,0.005207159141817385,0.76315327225095
RGS10,2.7884014,1.1835933,0.005417629299372778,0.76315327225095
PIGQ,2.7679577,4.084268,0.00586044485485515,0.7689548001666159
NAF1,2.7544675,1.9424063,0.006053539348600351,0.7863459881377528
SERF2,2.7488873,1.2174082,0.006116355641621913,0.7887898649763627
TMEM156,2.7405026,1.183225,0.006263491616903525,0.7988580204639671
PDS5A,2.7393184,1.1880797,0.006283553547105844,0.7988580204639671
DMTF1,2.7195618,1.2930316,0.006689432801750181,0.8327414750289844
USP4,2.711624,1.1622295,0.006835842428144654,0.8428990956760443
ZBTB16,2.7102494,1.164941,0.0068650712913479,0.8428990956760443
SUV420H1,2.6737852,1.1707815,0.0076545198249112,0.8901754140931016
SLC47A1,2.6678355,2.0140724,0.007836596411770766,0.8901754140931016
AGAP1,2.651472,1.1773319,0.008175057325556725,0.8901754140931016
SSBP2,2.6360478,1.1809348,0.008535805837824815,0.8901754140931016
EEF1A1,2.61662,1.1284523,0.009046907606046222,0.8901754140931016
CD53,2.6121292,1.120878,0.009156931162907668,0.8901754140931016
SLC26A3,2.6043732,1.1207533,0.009369471363018994,0.8901754140931016
LINGO1,2.6036355,1.2031133,0.009377767225109787,0.8901754140931016
AMDHD2,2.6015434,1.7390205,0.009490454027730147,0.8901754140931016
P2RY12,2.6014767,1.256106,0.009432805183679628,0.8901754140931016
PRPF3,2.5981233,2.2525005,0.009613819366078719,0.8901754140931016
FAM105A,2.5815806,1.1141254,0.010008562163835992,0.8901754140931016
IFNAR2,2.5778937,1.235211,0.01013109859768393,0.8901754140931016
RRP1,2.5769365,3.8808653,0.010264388175652634,0.8901754140931016
GOLT1B,2.569688,2.2098517,0.010426606392738154,0.8901754140931016
PDPN,2.56942,1.6977091,0.010410209381524028,0.8901754140931016
HAUS2,2.5510695,2.0683293,0.01098688245072693,0.8901754140931016
WHSC1,2.548484,1.2092096,0.011015776415699955,0.8901754140931016
SNX7,2.5457163,1.7995186,0.011141741623923453,0.8901754140931016
ARHGEF37,2.542824,1.9480543,0.011240937935026063,0.8901754140931016
IL1RAP,2.536838,1.1155936,0.011375951840211137,0.8901754140931016
IRAK3,2.536086,1.0960759,0.011384613446928411,0.8901754140931016
PPP2R2A,2.5347333,1.1231396,0.01144606384432027,0.8901754140931016
UBA52,2.5329175,1.5075223,0.01153362952567033,0.8901754140931016
KIAA0825,2.522733,1.3432852,0.01185982776345539,0.8901754140931016
CAPG,2.5204442,1.7141935,0.011960248203763877,0.8901754140931016
CBFB,2.514602,1.0928417,0.012110331858013688,0.8901754140931016
KIAA2026,2.5087397,1.0710694,0.012302449701912218,0.8901754140931016
ACSM5,2.5063248,1.1986723,0.012409776783195728,0.8901754140931016
HS3ST4,2.5027685,1.1996391,0.012486092592048095,0.8901754140931016
C1orf54,2.4988084,1.4455147,0.01268914844172412,0.8901754140931016
IFNGR1,2.4953077,1.1202447,0.012766388641731944,0.8901754140931016
THOC6,2.4813404,2.6139832,0.013391450914060117,0.8901754140931016
SLC27A4,2.4748104,1.4537208,0.013571403464755811,0.8901754140931016
BAG4,2.46419,1.5603696,0.013985185282213023,0.8901754140931016
SPTLC2,2.4634018,1.1106594,0.013952108560638771,0.8901754140931016
ZNF571,2.4629738,2.9057653,0.01409651523084733,0.8901754140931016
CD37,2.46064,1.1031923,0.014082081901214077,0.8901754140931016
TOB1,2.457689,27.117935,0.014366331609415636,0.8901754140931016
OSBPL3,2.4537284,1.0547335,0.014337168646066475,0.8901754140931016
ARID5A,2.4458938,1.2594905,0.014683215812919207,0.8901754140931016
PABPN1,2.4426484,1.3816595,0.014824043452216612,0.8901754140931016
METTL9,2.4386604,1.0834515,0.014959344677532158,0.8901754140931016
ARHGAP35,2.4359014,1.0569118,0.01506886902331702,0.8901754140931016
ZNF117,2.4227626,2.2978957,0.015713071112946665,0.9086210089376836
ADAM28,2.4187446,1.1642667,0.015767565506192023,0.9088404477942064
BANK1,2.4104905,1.8842658,0.016223660030701477,0.9156220651946414
PRPF19,2.4074748,1.6023195,0.016338163154756898,0.9156220651946414
ACLY,2.3950744,1.4984772,0.016887533177086574,0.9156220651946414
DPYD,2.391041,1.0499021,0.01701572788034713,0.9156220651946414
OTUD1,2.385602,1.954219,0.0173569870782775,0.9156220651946414
ZDHHC5,2.3841772,1.493139,0.017390827400568392,0.9156220651946414
TSHZ1,2.3840618,1.9561737,0.01742870271359894,0.9156220651946414
IGSF10,2.3751032,1.8419523,0.017846573046713176,0.9156220651946414
ZFP36L2,2.3740253,1.0976404,0.017806244819998086,0.9156220651946414
SRM,2.3711774,1.7525196,0.01802976793487581,0.9156220651946414
YAF2,2.3700125,1.0263011,0.018018547073009164,0.9156220651946414
EIF3F,2.365964,1.6804022,0.01827759166361795,0.9156220651946414
ZNF280D,2.3627427,1.0082018,0.018366246886683483,0.9156220651946414
AK3,2.3545728,1.545596,0.018838498014655296,0.9156220651946414
MEF2C,2.3421369,0.93750423,0.019368497508319288,0.9156220651946414
ZBTB11,2.3330646,2.013738,0.019970184993879467,0.9156220651946414
DTNA,2.3321967,1.0058234,0.01991742955214221,0.9156220651946414
UBE2J1,2.3310823,1.2585169,0.020020529313506837,0.9156220651946414
P4HB,2.3242035,1.2949555,0.02039721391259956,0.9156220651946414
ATP6V0B,2.3240135,1.037845,0.020376093451269936,0.9156220651946414
C3orf67,2.3208497,3.45499,0.020693882607737395,0.9156220651946414
ARL13B,2.3142328,1.2239459,0.020935068567896477,0.9156220651946414
ATIC,2.3121872,1.5743998,0.02107000280997644,0.9156220651946414
HMG20B,2.3009377,1.6863186,0.02171056251088783,0.9156220651946414
LPL,2.3004422,3.3782885,0.0218257570492023,0.9156220651946414
POMT2,2.298752,2.8135624,0.021908090548761427,0.9156220651946414
THRB,2.2934747,1.0826917,0.022085394067666592,0.9156220651946414
CSRNP1,2.291659,2.808497,0.022317658698442745,0.9156220651946414
CSGALNACT1,2.289514,1.1274965,0.022274038197254337,0.9156220651946414
ANKRD12,2.2885296,0.99772537,0.022345173513186153,0.9156220651946414
LYNX1,2.2858021,2.2320936,0.02263416379912313,0.9156220651946414
CDC25B,2.285261,2.7745323,0.02268944540191346,0.9156220651946414
ING3,2.2760096,2.0491028,0.023204244224071045,0.9156220651946414
ZC3H12C,2.2754607,1.0876627,0.02315280175449489,0.9156220651946414
SALL1,2.2732925,1.2199489,0.023298589385400956,0.9156220651946414
DEAF1,2.2725973,1.1688235,0.023332937241997993,0.9156220651946414
ARSD,2.2720845,2.761327,0.02347753512617028,0.9156220651946414
SPRED1,2.2710888,0.9874695,0.02338260751461133,0.9156220651946414
LPP,2.2694592,1.1011457,0.02346891839246838,0.9156220651946414
PLA2G16,2.2684157,1.3711399,0.023602225589015743,0.9156220651946414
SHTN1,2.26719,1.0495198,0.02361326344281262,0.9156220651946414
C3,2.2659883,1.1065841,0.02368117248102815,0.9156220651946414
IMMP2L,2.260172,1.0437372,0.024047995230956968,0.9156220651946414
YIPF5,2.2566452,2.3991125,0.024416273169930426,0.9156220651946414
SLC1A3,2.2515604,1.0095031,0.024573365597444264,0.9156220651946414
PAQR5,2.2512445,2.1648428,0.024745118142098347,0.9156220651946414
GNAS,2.2491846,0.9700169,0.024751318191478362,0.9156220651946414
RASSF8,2.2491043,1.0345985,0.024747241633790166,0.9156220651946414
CCL4,2.245757,26.879166,0.025212898769653606,0.9156220651946414
KCNJ1,2.2437286,26.88659,0.025344244472705463,0.9156220651946414
SYT2,2.2429013,26.91097,0.02539798368380426,0.9156220651946414
CDKN2B,2.2422476,26.945,0.02544052723447768,0.9156220651946414
APOE,2.2413836,1.0874354,0.02523789004218362,0.9156220651946414
EVI2B,2.237802,1.3704054,0.025549127265651735,0.9156220651946414
SAMD12,2.2371373,0.96086216,0.025541090029754396,0.9156220651946414
TNFAIP8L3,2.2367363,1.9973215,0.025672608876856497,0.9156220651946414
ARHGEF11,2.2365353,0.99336034,0.025589052168335596,0.9156220651946414
PIP5K1B,2.2360835,0.9725647,0.025617547891042286,0.9156220651946414
ADCY9,2.2327735,1.2385598,0.025864304843767612,0.9156220651946414
GNAI1,2.2290368,2.3555133,0.02620341663898561,0.9156220651946414
TRPC1,2.2280858,1.1749195,0.026172575604632483,0.9156220651946414
C12orf73,2.2223372,2.3329363,0.026653224740369724,0.9156220651946414
ANKRA2,2.2216885,1.3017411,0.02661632525032525,0.9156220651946414
GNB4,2.218658,0.9448726,0.02676979527304619,0.9156220651946414
PRPF40A,2.2177873,0.9816509,0.026845888981974236,0.9156220651946414
PAK3,2.217015,1.8493071,0.026987272620362046,0.9156220651946414
CTD-3088G3.8,2.2160661,2.1246037,0.027070679539291514,0.9156220651946414
PDE3B,2.2085032,1.0393342,0.027462042531277615,0.9156220651946414
HTRA1,2.2081747,0.945375,0.027503895821368866,0.9156220651946414
RPH3A,2.2072408,2.3182895,0.027693526486752537,0.9156220651946414
EIF4G2,2.2067323,1.3468875,0.027661498307948347,0.9156220651946414
TMOD1,2.2065108,0.9974244,0.02763107337961006,0.9156220651946414
CD84,2.2058282,0.93845874,0.02766444588896829,0.9156220651946414
ASH1L,2.2043328,1.0194398,0.027750894265129642,0.9156220651946414
FKBP4,2.2017703,1.7259381,0.028042263511163477,0.9156220651946414
RP11-286N22.8,2.198921,1.421743,0.028215947577894224,0.9156220651946414
MAP1A,2.1977303,1.6564553,0.028321929202752002,0.9156220651946414
BBS2,2.1964722,1.7244747,0.028420805700600845,0.9156220651946414
NMNAT3,2.196347,1.8217514,0.028436312594636238,0.9156220651946414
PLVAP,2.1947074,1.5134741,0.028527914162319635,0.9156220651946414
SPECC1,2.1912427,0.9373947,0.028702051729913858,0.9156220651946414
GTF2H1,2.189136,1.4557809,0.02892605112912599,0.9156220651946414
ZDHHC2,2.187026,1.0561696,0.02903924951170632,0.9156220651946414
PICALM,2.1845047,1.0673152,0.029171851702154444,0.9156220651946414
ARSB,2.1816885,0.9412152,0.029409071419560437,0.9156220651946414
XYLT1,2.1808083,1.0402313,0.02949726326525326,0.9156220651946414
SNX5,2.1797044,1.3379844,0.029607670570329814,0.9156220651946414
EMC2,2.1769233,1.4093499,0.02982382542854289,0.9156220651946414
C6orf1,2.1761475,2.062148,0.02993498176828108,0.9156220651946414
C19orf43,2.171029,1.3917482,0.030274994432287233,0.9156220651946414
PDCD6IP,2.168881,0.93300265,0.030375854722915867,0.9156220651946414
ZNRF2,2.1677008,0.92494416,0.03045944462684249,0.9156220651946414
DDX17,2.1666443,0.96807224,0.030526750766957725,0.9156220651946414
ZMYM2,2.1603932,0.924081,0.031013932122429845,0.9156220651946414
MZT2A,2.1560936,1.6810036,0.03144603087662842,0.9156220651946414
IVNS1ABP,2.1547558,1.1012701,0.03149347535731099,0.9156220651946414
HHIP,2.1537712,3.4416342,0.031740969611424315,0.9156220651946414
GLB1L,2.1509063,2.7780225,0.03194398016654631,0.9156220651946414
OSBPL8,2.1501422,0.9366161,0.03183300917190555,0.9156220651946414
